Date,Activity,Symbol,Description,Quantity,Unit Price,Value,Held In,Account Nickname,Account Number
12/16/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$108.02,cash,Equities,4015
12/16/2024,cash dividend,GOOG,ALPHABET INC CL C 121624         150.36000 AS OF 2024-12-16 00:00:00,-,-,	$30.07,cash,Equities,4015
12/16/2024,dividend reinvest,GOOG,ALPHABET INC CL C,0.155,$0.00,	-$30.07,cash,Equities,4015
12/13/2024,buy,DELL,DELL TECHNOLOGIES INC CL C,32,$117.77,	-$3768.59,cash,Equities,4015
12/13/2024,buy,ORCL,ORACLE CORP,22,$172.36,	-$3791.83,cash,Equities,4015
12/13/2024,sell,GD,GENERAL DYNAMICS CORP,-29,$264.44,	$7668.44,cash,Equities,4015
11/29/2024,reinvest interest,9999227,INSURED CASH ACCOUNT,-,-,	-$4.08,cash,Equities,4015
11/29/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$0.01,cash,Equities,4015
11/29/2024,interest,9999227,"INSURED CASH ACCOUNT 112924       27,217 AS OF 2024-11-29 00:00:00",-,-,	$4.08,cash,Equities,4015
11/27/2024,credit int,CASH,"INT 11/19-11/19 @ 0.250% 01 DAY AVG BAL=    1,750",-,-,	$0.01,cash,Equities,4015
11/26/2024,reinvest interest,9999227,INSURED CASH ACCOUNT,-,-,	-$2.42,cash,Equities,4015
11/26/2024,interest,9999227,"INSURED CASH ACCOUNT 112624       27,213 AS OF 2024-11-26 00:00:00",-,-,	$2.42,cash,Equities,4015
11/20/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$1750,cash,Equities,4015
11/19/2024,journal,CASH,TRF FROM AC#56005516-1,-,-,	$1750,cash,Equities,4015
11/15/2024,cash dividend,GD,GENERAL DYNAMICS CORP 111524          29 AS OF 2024-11-15 00:00:00,-,-,	$41.18,cash,Equities,4015
11/15/2024,dividend reinvest,GD,GENERAL DYNAMICS CORP,0.141,$0.00,	-$41.18,cash,Equities,4015
11/14/2024,dividend reinvest,AAPL,APPLE INC,0.223,$0.00,	-$50.25,cash,Equities,4015
11/14/2024,cash dividend,AAPL,APPLE INC 111424         201.00100 AS OF 2024-11-14 00:00:00,-,-,	$50.25,cash,Equities,4015
11/12/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	$726.11,cash,Equities,4015
11/11/2024,fee,CASH,ADVISORY FEE,-,-,	-$726.11,cash,Equities,4015
10/31/2024,reinvest interest,9999227,INSURED CASH ACCOUNT,-,-,	-$8.11,cash,Equities,4015
10/31/2024,interest,9999227,"INSURED CASH ACCOUNT 103124       26,187 AS OF 2024-10-31 00:00:00",-,-,	$8.11,cash,Equities,4015
10/22/2024,ica transfer,9999227,INSURED CASH ACCOUNT,-,-,	-$375,cash,Equities,4015
