Exported on: 01/07/2026 08:44 PM ET

Selected account(s):Other (CMA 5VT-10282)

"Trade Date" ,"Settlement Date" ,"Account" ,"Description" ,"Type" ,"Symbol/ CUSIP" ,"Quantity" ,"Price" ,"Amount" ," " 
"09/23/2024" ,"09/23/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"600" ,"" ,"-$600.00" ,"" 
"09/20/2024" ,"09/20/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 09/04/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"08/30/2024" ,"08/30/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"" ,"" ,"$1.00" ,"" 
"08/30/2024" ,"08/30/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 07/31 THRU 08/29" ,"" ,"990286916" ,"" ,"" ,"$0.42" ,"" 
"08/21/2024" ,"08/21/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"600" ,"" ,"-$600.00" ,"" 
"08/20/2024" ,"08/20/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 08/02/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"07/31/2024" ,"07/31/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 06/28 THRU 07/30" ,"" ,"990286916" ,"" ,"" ,"$0.38" ,"" 
"07/31/2024" ,"07/31/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"" ,"" ,"$1.00" ,"" 
"07/26/2024" ,"07/26/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"600" ,"" ,"-$600.00" ,"" 
"07/25/2024" ,"07/25/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 07/02/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"06/28/2024" ,"06/28/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"" ,"" ,"$1.00" ,"" 
"06/28/2024" ,"06/28/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 05/31 THRU 06/27" ,"" ,"990286916" ,"" ,"" ,"$0.03" ,"" 
"06/24/2024" ,"06/24/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"599" ,"" ,"-$599.00" ,"" 
"06/21/2024" ,"06/21/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 06/04/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"05/31/2024" ,"05/31/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 04/30 THRU 05/30" ,"" ,"990286916" ,"" ,"" ,"$0.01" ,"" 
"05/31/2024" ,"05/31/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"" ,"" ,"$1.00" ,"" 
"05/21/2024" ,"05/21/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"600" ,"" ,"-$600.00" ,"" 
"05/20/2024" ,"05/20/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 05/02/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"05/01/2024" ,"05/01/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"1" ,"" ,"-$1.00" ,"" 
"04/30/2024" ,"04/30/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 03/28 THRU 04/29" ,"" ,"990286916" ,"" ,"" ,"$0.90" ,"" 
"04/23/2024" ,"04/23/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"599" ,"" ,"-$599.00" ,"" 
"04/22/2024" ,"04/22/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 04/02/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"04/01/2024" ,"04/01/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"1" ,"" ,"-$1.00" ,"" 
"03/28/2024" ,"03/28/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 02/29 THRU 03/27" ,"" ,"990286916" ,"" ,"" ,"$0.63" ,"" 
"03/21/2024" ,"03/21/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"600" ,"" ,"-$600.00" ,"" 
"03/20/2024" ,"03/20/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 03/02/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"02/29/2024" ,"02/29/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 01/31 THRU 02/28" ,"" ,"990286916" ,"" ,"" ,"$0.51" ,"" 
"02/21/2024" ,"02/21/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"600" ,"" ,"-$600.00" ,"" 
"02/20/2024" ,"02/20/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 02/02/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"01/31/2024" ,"01/31/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 12/30 THRU 01/30" ,"" ,"990286916" ,"" ,"" ,"$0.53" ,"" 
"01/31/2024" ,"01/31/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"" ,"" ,"$4.00" ,"" 
"01/23/2024" ,"01/23/2024" ,"CMA 5VT-10282" ,"Transfer / Adjustment TR TO 5VT22241 N/O IGOR SEGAL TTEE VS 5VT22241 UNIT 5VT BATCH # = 00037002592" ,"" ,"" ,"" ,"" ,"-$20,000.00" ,"" 
"01/23/2024" ,"01/23/2024" ,"CMA 5VT-10282" ,"Withdrawal ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"-20,000" ,"" ,"$20,000.00" ,"" 
"01/22/2024" ,"01/22/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"600" ,"" ,"-$600.00" ,"" 
"01/19/2024" ,"01/19/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 01/03/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
,

,

,
"                                                                           Total activity from                            01/08/2024                            to                            01/01/2025                                                                            $9.08                                             " 
,
